AnalysisDate,WomensHealth
09/2009,3972
10/2009,8439
11/2009,9337
12/2009,5431
01/2010,4129
02/2010,7632
03/2010,10208
04/2010,14336
05/2010,7297
06/2010,10624
07/2010,37908
08/2010,25580
09/2010,30021
10/2010,24850
11/2010,30915
12/2010,28286
01/2011,48220
02/2011,66994
03/2011,54862
04/2011,62705
05/2011,59762
06/2011,55543
07/2011,56762
08/2011,73897
09/2011,59268
10/2011,45369
11/2011,58995
12/2011,46893
01/2012,61712
02/2012,289843
03/2012,238587
04/2012,87907
05/2012,78144
06/2012,75780
07/2012,120345
08/2012,302149
09/2012,158948
10/2012,250758
11/2012,160845
12/2012,96995
01/2013,206774
02/2013,164500
03/2013,185139
04/2013,176556
05/2013,179306
06/2013,183191
07/2013,188529
08/2013,146959
09/2013,151316
10/2013,181161
11/2013,174900
12/2013,146080
01/2014,198872
